user_id	Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Q9	Q10	Q11	Q12	Q13	Q14	Q15
2	4	1	4	3	2	4	2	3	4	2	2	2	4	4	4
6	5	3	3	3	3	5	3	3	5	3	3	3	5	3	3
8	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
13	0	3	4	4	3	5	0	5	3	4	0	0	3	3	5
15	4	1	4	4	1	4	1	4	4	4	1	1	4	4	5
17	3	2	4	5	1	3	1	2	3	1	3	2	2	3	5
18	5	0	5	5	5	5	0	5	4	5	0	0	4	5	5
20	2	1	5	5	1	3	2	3	3	4	3	1	1	4	2
23	5	1	4	5	1	5	0	5	4	4	1	1	5	4	4
24	4	3	3	3	3	4	1	4	4	2	1	1	5	3	4
26	4	3	2	2	3	4	3	4	4	2	3	2	4	2	4
28	2	2	3	3	3	3	2	3	3	3	2	2	3	3	3
31	3	2	3	3	2	5	2	5	3	3	2	2	3	3	4
33	5	0	5	5	0	5	0	5	5	5	0	0	5	5	5
37	3	0	3	3	1	3	1	3	3	2	3	2	3	4	3
39	4	3	2	1	4	4	4	4	4	1	4	4	4	2	4
41	5	0	5	5	0	5	0	5	5	5	0	0	5	5	5
53	1	2	5	2	1	4	4	2	3	4	0	3	2	0	1
54	3	3	2	2	3	3	3	4	3	1	1	1	3	3	4
58	5	0	0	0	0	5	4	2	5	0	0	0	5	5	2
61	5	0	5	5	0	3	1	2	5	5	2	2	5	5	3
65	4	4	5	5	4	5	3	1	4	5	3	3	4	1	5
71	4	5	3	3	5	5	5	3	4	3	5	2	5	2	5
72	5	0	5	5	0	5	0	5	5	5	0	0	5	5	5
78	3	2	3	3	2	3	2	3	3	3	2	2	3	3	3
81	5	3	2	2	3	5	3	5	5	2	3	3	5	2	5
83	4	3	2	3	3	4	3	3	4	3	3	1	4	2	4
84	0	0	1	4	1	2	3	3	2	3	4	1	3	0	3
85	3	1	3	2	2	2	3	2	4	3	2	1	3	3	1
86	2	3	3	2	3	2	3	2	2	3	3	2	2	5	1
91	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
97	3	3	2	3	3	3	2	2	2	2	2	2	2	2	3
99	5	4	4	5	4	5	3	5	4	5	4	4	4	1	5
101	2	2	3	3	2	5	3	5	2	3	3	3	1	3	3
105	5	2	3	3	3	5	2	5	5	3	1	1	5	3	5
107	5	3	3	3	3	4	2	3	3	3	3	3	5	3	3
113	3	4	1	1	2	2	3	3	3	2	3	3	3	2	2
115	5	3	3	3	3	3	1	3	4	3	3	1	5	3	3
118	3	2	3	3	2	3	2	3	3	3	2	2	3	3	3
121	4	3	4	4	3	1	1	5	4	4	1	1	4	3	4
128	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
132	1	2	3	1	2	3	3	2	3	3	1	3	1	2	3
136	3	3	4	3	2	5	5	3	3	3	5	3	3	0	3
142	3	3	3	3	3	3	3	4	3	3	3	3	3	4	4
145	5	5	4	4	2	2	0	5	4	4	1	1	4	4	3
147	2	2	3	3	2	5	3	5	2	5	2	2	3	3	5
148	4	3	3	3	3	3	3	4	3	3	3	3	3	4	4
150	4	3	4	3	3	3	4	4	4	3	2	1	4	3	3
151	3	5	3	2	3	5	1	5	1	1	4	2	3	0	5
155	5	3	3	3	3	5	3	3	5	3	3	3	5	3	3
156	3	3	5	5	3	5	3	5	3	5	3	3	3	2	5
158	4	3	3	3	4	5	5	3	3	3	5	3	3	0	3
159	5	3	3	3	3	5	3	3	5	3	3	3	5	3	3
164	4	3	1	3	3	3	1	4	4	4	1	1	5	3	3
167	5	3	2	1	3	5	1	5	5	3	0	1	5	2	4
169	3	3	5	5	3	5	3	5	3	5	3	3	3	2	5
171	5	3	1	3	4	3	1	5	5	1	1	1	5	1	4
176	5	4	4	2	3	3	3	5	5	1	2	1	5	3	5
181	5	3	3	4	1	3	3	5	5	3	1	1	5	3	3
182	4	2	4	1	3	4	1	4	4	1	1	0	5	5	4
185	5	5	1	3	4	1	1	4	4	3	0	1	5	1	4
187	4	2	4	4	2	5	1	5	4	3	1	1	4	4	5
191	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2
198	4	4	1	0	4	4	3	5	5	1	1	1	5	4	4
205	4	0	5	5	0	3	3	5	5	3	3	1	5	4	5
207	3	3	3	3	1	2	4	3	3	3	3	3	3	3	3
209	4	3	2	2	3	2	0	4	4	1	1	1	1	4	2
213	4	3	0	0	3	4	4	4	4	0	5	4	4	0	4
214	4	1	4	4	1	1	4	2	4	4	1	1	4	4	2
215	1	2	3	2	2	4	2	4	4	2	2	2	4	2	4
220	4	2	1	1	2	0	0	1	2	0	0	0	3	3	2
222	5	3	0	0	3	5	3	5	5	3	3	3	5	2	5
230	4	3	4	2	3	5	0	5	4	4	0	0	4	2	5
236	5	3	0	0	3	5	3	5	5	0	3	3	5	2	5
243	4	4	1	0	4	4	1	5	5	2	1	1	5	1	5
244	5	3	2	2	4	5	4	5	5	2	4	4	5	2	5
250	5	0	5	3	1	4	1	4	4	3	1	1	5	4	4
258	3	3	2	4	2	3	0	5	2	1	1	0	4	3	5
265	3	1	4	4	2	5	0	3	3	2	1	2	4	5	4
269	5	2	3	2	2	3	0	3	5	5	0	0	5	5	5
271	4	5	2	1	2	4	4	5	2	4	5	2	4	4	4
273	4	3	4	0	2	5	4	3	5	4	4	3	3	3	4
274	1	1	3	4	5	3	5	4	1	4	2	4	5	5	4
275	5	4	2	2	3	5	3	5	5	2	3	3	5	2	4
277	3	4	3	3	0	3	3	5	4	4	0	1	4	4	4
281	2	1	4	3	2	5	3	4	3	3	1	1	3	4	3
